title,company,location,remote_or_onsite,job_type,link
Sr. Python Developer,Intone Networks,"Austin, TX",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=638fd4ad56614206&bb=tUGuLEyYj2oEwuXs3Ge99Bg4moGFyP36laYTjfYD4iHv1NVWIXj-U22SF0W2zl8K9SW3xRA-FmZfgHnLKeXI_zhVY2GXWrYsd5yza62-jKw3OW-vL6GwnfNh0vlSNJDbiLnBqo2EuB0%3D&xkcb=SoDv67M3vh01InWEhB0LbzkdCdPP&fccid=3ed0572c448b2368&vjs=3
Associate Design Engineer - Vehicle Software V&V,Harley-Davidson,"Wauwatosa, WI",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=4782c15e42020da9&bb=tUGuLEyYj2oEwuXs3Ge99E5CwsBF5FbUJk7K1-nO0VxkV8Qn1_xClDTEuU9ftvJCy5dREKHJGnizd30twpiS5LjyJ5mxiuUGQQu_CE7ZM4MhcO7oSjh2NJpJBzcErHOc&xkcb=SoBb67M3vh01InWEhB0KbzkdCdPP&fccid=d606abf5c6b70531&vjs=3
RTL Design Engineer,Advanced Micro Devices,"Hybrid work in Austin, TX 78735",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=ae4264b7a5c050a7&bb=tUGuLEyYj2oEwuXs3Ge99AFxBnzNFLGSjqYxoZc7eFoOb9n1fJRjCR5scwvqG96xmVRBm7AGHaYM40O_JPW9ni6D1iM5TyfJCpKIsGqA1tFpNzVmv6q7F_OuJqOlmR3Ok6L4ZptAUtI%3D&xkcb=SoDG67M3vh01InWEhB0JbzkdCdPP&fccid=b45c4b5a9c9a7448&vjs=3
ENGINEER - RESEARCH ENGINEER - Experimental/Computational Thermofluids Engineer,Southwest Research Institute,"San Antonio, TX 78238",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=bd6eeca5ec810a14&bb=tUGuLEyYj2oEwuXs3Ge99LMG1hsUVri2mI3jvAMtXmzZIxx7yJjDvYixmBtUPUvEYoFfgPfygCYvayOAYPL5uY-TDHL31_Wq9XLm7smeIQFukqVWG0DoAhnxxWlPDQBW&xkcb=SoBy67M3vh01InWEhB0IbzkdCdPP&fccid=0d9a7400c0a8fdec&vjs=3
Robotics Engineer,Hendrick Motorsports,"Charlotte, NC 28262 
(University City North area)",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=b4a25cbfa169d125&bb=tUGuLEyYj2oEwuXs3Ge99K96eTye_BIeHc1GTgYVVLVu2-HOpzPZQE_ME792IvsuhlsyiMooelC4dr9F0rxObSbM26bWR30zhXqXGsZC3YsYqX9_MMSiKEFEJW17-NpjU4AxBNgB4zw%3D&xkcb=SoD867M3vh01InWEhB0PbzkdCdPP&fccid=0edc7cc420c311c3&vjs=3
"Factory Software Engineer, Consumer Products (Starlink)",SpaceX,"Bastrop, TX",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=25c01b05b25e4dd2&bb=tUGuLEyYj2oEwuXs3Ge99LEobkj8qX7blCHLH2DqhNSoKloF_cvUao6K0uTSeSZ_RWKnpSv45QX10_YjVo0Y1WDYGJVPUCJoQomjub9-sJhCrpsGqPHNtPumpHqSmwrkqlskjOhisxw%3D&xkcb=SoBI67M3vh01InWEhB0ObzkdCdPP&fccid=8bc01be85b97ce0d&vjs=3
Silicon Design Verification Engineer,"Advanced Micro Devices, Inc","Hybrid work in San Jose, CA 95124",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=1660d92d38205a75&bb=tUGuLEyYj2oEwuXs3Ge99HFicC1qm1T9h5kfnOr4f3p6zIg8x10cvsQxkk-zW3NSM6eUxy5vL2yBkSvopRHXwJYHsz7ctM27_nG7VLd-85OTuG02iKrE9nSoSRFAwagKn9ArzDcOF7U%3D&xkcb=SoDV67M3vh01InWEhB0NbzkdCdPP&fccid=b45c4b5a9c9a7448&vjs=3
Algorithm & Analysis Engineer - Open Rank (Entry-Mid Level)-EOSL,Georgia Tech Research Institute,"Atlanta, GA 30332 
(Georgia Tech area)",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=53df8798328ae64b&bb=tUGuLEyYj2oEwuXs3Ge99CQ8LztdXpJhA9VqROir5KBzC-PNU1gNf3f8JR23ZBDvCkU7qJXAw01zqZ9IOWUHMJ0lwCaYQNN0hNA4-tR0bUVxTjcEj26mJq75yIOJxziTGjaqJWgJXX8%3D&xkcb=SoBh67M3vh01InWEhB0MbzkdCdPP&fccid=db25687464a9ecf6&vjs=3
ASIC Design Efficiency Engineer,NVIDIA,"Santa Clara, CA 95050",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=8eac9f5b87aa9ecb&bb=tUGuLEyYj2oEwuXs3Ge99CyYtsMSLNmH5gAsuUaBYPVmnJO-4ywxG3qnSiuDM4ifBoiPCN6w45SuM1-nXter2jXIOoyarDz7ffCy0V_b75BACVvD5mymLNZ9zgsaMVCoPPndUGRX_oM%3D&xkcb=SoCI67M3vh01InWEhB0DbzkdCdPP&fccid=c267f29f0f85e8b8&vjs=3
"Modeling & Simulation Design Engineer, Optimus",Tesla,"Palo Alto, CA 94304",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=fd541cf9b386cd8b&bb=tUGuLEyYj2oEwuXs3Ge99Bt8d8sRcJskXwmgGEjB6qV4jERkfjYV1Mst-z_HflE_Jf_v1SIpXy0YSW7mjN4BVXo1ReLd0ZSPBlr13v40xj46scr9Zn1Dizu7lZgJTgdf6X_Gqe3a2bc%3D&xkcb=SoA867M3vh01InWEhB0CbzkdCdPP&fccid=86e9be6ce380173e&vjs=3
Modeling and Simulation Software Engineer,Amentum,"Kennedy Space Center, FL 32899",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=1df79268e8d29123&bb=tUGuLEyYj2oEwuXs3Ge99IRbuxE-ltON9yG-6trS17O4XPA_sCrWt4DkcTIPDMPQCa6pVcNZCcpOS-OyMAsWvgFTIP_aaTV5LiDkaHQBOtm_DOPw16E5p1wLK10AqOzE-tAnLWTBpxQ%3D&xkcb=SoCh67M3vh01InWEhB0BbzkdCdPP&fccid=6cecc4f0e25b14e5&vjs=3
"Software Engineer, Computer Vision - Reality Labs",Meta,"New York, NY",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=e8c64125db61b478&bb=tUGuLEyYj2oEwuXs3Ge99GanVJchaUNxbqtoSMPoCIYZTzIHeBb98xQV9VsxdYtlua5DZEA9dhDLpEc1l8FAYPESmR5gC5XOCvEMIiZ1ulHTWNxxjRW6lxpIGsZWGjty&xkcb=SoAV67M3vh01InWEhB0AbzkdCdPP&fccid=ba07516c418dda52&vjs=3
"Software Engineer, FBM Mk7, Early to Mid Career",Lockheed Martin,"Littleton, CO 80127",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=713f91d6235e1665&bb=tUGuLEyYj2oEwuXs3Ge99J7YMxZrYTP5XzXQpFy1m2ITmjC_o-8jFPCqa1zZRwweYNsOG9gdxJgCXkN58ecsPNuS-27_bhE01c3qqaGfmtdNMptp1CElF5OLQjws1FZi&xkcb=SoCb67M3vh01InWEhB0HbzkdCdPP&fccid=aeb15e43a6800b9d&vjs=3
"ASIC Engineer, Design Verification",Meta,"Menlo Park, CA 94025",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=d415753318c23bea&bb=tUGuLEyYj2oEwuXs3Ge99FaekACdthnTnBnMUP8Vmd6xsYKCsRWB276UYzDzuQCX-ouAzbeTcf11pCQdNeSkj6D5yRXtbvpFZiCakGqIZSwGJek4-Ay0XuSjEU61lAbp&xkcb=SoAv67M3vh01InWEhB0GbzkdCdPP&fccid=ba07516c418dda52&vjs=3
